title,genres
Princess Aurora (Orora gongju) (2005),Crime|Drama|Mystery
"Princess and the Pirate, The (1944)",Adventure|Comedy|Romance
"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",Drama|Romance
Printed Rainbow (2006),Adventure|Animation|Fantasy
Prisoner of Paradise (2002),Documentary
"Profession of Arms, The (Il mestiere delle armi) (2001)",Adventure|Drama|War
Project A ('A' gai waak) (1983),Action|Comedy
Pure Luck (1991),Comedy|Crime
"Pursuit of D.B. Cooper, The (a.k.a. Pursuit) (1981)",Adventure
Que Viva Mexico (¡Que Viva Mexico! - Da zdravstvuyet Meksika!) (1979),Documentary
Queen Kelly (1929),Drama
"Question of Silence, A (De stilte rond Christine M.) (1982)",Drama
"Rabid Grannies (Mémés cannibales, Les) (1988)",Comedy|Horror
Raging Bull (1980),Drama
Ragnarok (2013),Action|Adventure
Raincoat (2004),Drama|Romance
Random Harvest (1942),Drama|Romance
Raze (2013),Action|Horror
Recoil (2011),Action
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),Action|Drama|War
Red Salute (1935),Comedy|Romance
Redemption (Hummingbird) (2013),Action|Crime|Thriller
Relationship Status: It's Complicated (2014),Comedy|Romance
"Return of Frank Cannon, The (1980)",Action|Crime|Drama|Mystery|Thriller
"Revisionaries, The (2012)",Documentary
Rich and Famous (1981),Drama
Ricky & Barabba (1992),Comedy
Rififi (Du rififi chez les hommes) (1955),Crime|Film-Noir|Thriller
Rigor Mortis (Geung si) (2013),Action|Drama|Horror
Rock 'n' Roll Nightmare (1987),Fantasy|Horror
RocknRolla (2008),Action|Crime
Romy and Michele: In the Beginning (2005),Comedy
"Roommate, The (2011)",Drama|Thriller
Rosenstrasse (2003),Drama|War
"Rover, The (2014)",Crime|Drama
"Royal Scandal, The (2001)",Crime|Mystery
"Saddest Music in the World, The (2003)",Comedy|Drama|Fantasy|Musical|Romance
Sambizanga (1973),Drama
Save the Tiger (1973),Drama
School for Scoundrels (2006),Comedy|Crime
"Scorpion King 2: Rise of a Warrior, The (2008)",Action|Adventure|Fantasy
Scrooged (1988),Comedy|Fantasy|Romance
Second Honeymoon (1937),Comedy|Romance
"Second Jungle Book: Mowgli & Baloo, The (1997)",Adventure|Children
"Secret Life of Walter Mitty, The (2013)",Adventure|Comedy|Drama
"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
See You Next Tuesday (2013),Comedy|Drama
Seraphim Falls (2006),Action|Adventure|Drama|War|Western
"Set-Up, The (1949)",Drama|Film-Noir|Romance
Seven Beauties (Pasqualino Settebellezze) (1976),Comedy|Drama
Sex Up Your Life! (2005),Comedy
Sex: The Annabel Chong Story (1999),Documentary
Sexual Life (2005),Romance
Shadow Warriors 2 (Assault on Devil's Island) (1997),Action|Adventure|Thriller
Shadow of a Doubt (1943),Crime|Drama|Thriller
Shadow of the Holy Book (Pyhän kirjan varjo) (2007),Documentary
Shadowlands (1985),Drama|Romance
She Cried No (Freshman Fall) (1996),Crime|Drama
"She No Longer Talks, She Shoots (1972)",Comedy
She's Out of My League (2010),Comedy
Sherlock Holmes: The Woman in Green (1945),Mystery
Shifty (2008),Crime|Thriller
Shine a Light (2008),Documentary|Musical|IMAX
Shutter Island (2010),Drama|Mystery|Thriller
Sibling Rivalry (1990),Comedy
Side by Side (2012),Documentary
"Signal, The (2014)",Sci-Fi|Thriller
Sin Retorno (2010),Drama|Thriller
Sione's Wedding (Samoan Wedding) (2006),Comedy|Romance
Six Pack (1982),Comedy|Drama
Skokie (1981),Drama
Skyscraper (Skyskraber) (2011),Comedy|Drama
Slave Ship (1937),Adventure|Drama
Sleeping Beauty (2014),Adventure|Fantasy
"Sleeping Beauty, The (La belle endormie) (2010)",Drama
"Sleepy Time Gal, The (2001)",Drama
Sliver (1993),Thriller
"Small Town in Texas, A (1976)",Action|Adventure|Crime|Drama|Romance
Snake and Crane Arts of Shaolin (She hao ba bu) (1978),Action|Drama
Snitch (2013),Action|Drama|Thriller
Snow Beast (2011),Drama|Sci-Fi|Thriller
Snowriders (1996),Documentary
"So Evil, So Young (1961)",Drama
Songs From the Second Floor (Sånger från andra våningen) (2000),Drama
Soo (Art of Revenge) (2007),Action|Crime|Drama|Thriller
"Sorry, Haters (2005)",Drama|Thriller
"Sorry, Wrong Number (1948)",Drama|Film-Noir|Thriller
Special (2006),Drama|Fantasy
"Specialist, The (1994)",Action|Drama|Thriller
Spider Lilies (Ci qing) (2007),Drama|Romance
Spinning Boris (2003),Comedy|Drama
Spiral (2000),Horror
Starting Out in the Evening (2007),Drama
"Stewart Lee: If You Prefer a Milder Comedian, Please Ask for One (2010)",Comedy
Still Walking (Aruitemo aruitemo) (2008),Drama
"Stone Angel, The (2007)",Drama
Stop! Or My Mom Will Shoot (1992),Action|Comedy
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
Street Scene (1931),Drama
Street of Shame (Akasen chitai) (1956),Drama
Suburbia (1984),Drama
"Suitor, The (Soupirant, Le) (1962)",Comedy
"Sun Also Rises, The (Tai yang zhao chang sheng qi) (2007)",Drama
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)",Action|Adventure|Drama|War
Sweet Bird of Youth (1962),Drama
Swept Away (2002),Comedy|Romance
Sympathy for Delicious (2011),Drama
Takeshis' (2005),Comedy|Drama
Tank Girl (1995),Action|Comedy|Sci-Fi
Tapestries of Hope (2009),Documentary
Taxi (2004),Action|Comedy
Tears of April (Käsky) (2008),Drama|Romance|War
Tennessee Johnson (1942),Drama
Tenure (2009),Comedy
That Obscure Object of Desire (Cet obscur objet du désir) (1977),Drama
That's What I Am (2011),Children|Comedy
The Big Bus (1976),Action|Comedy
The Chaos Class Failed the Class (1976),Comedy
The Death and Life of Bobby Z (2007),Action|Crime|Drama|Thriller
The Deep Six (1958),Drama|War
The Expelled (2010),Horror|Thriller
The First Men in the Moon (2010),Sci-Fi
The Hunchback of Paris (1959),Action|Adventure
The Land Before Time XIII: The Wisdom of Friends (2007),Animation|Children
The Magic Flute (2006),Drama|Musical|Romance
The Magnificent Trio (1966),Action|Drama|Romance
The Pee-Wee Herman Show on Broadway (2011),Comedy
The Scapegoat (1963),Drama
The Sky Dragon (1949),Adventure|Comedy|Crime|Mystery|Thriller
The Town that Dreaded Sundown (2014),Horror|Thriller
The Valley of Gwangi (1969),Sci-Fi|Thriller|Western
They Came to Cordura (1959),Western
They Drive by Night (1940),Drama
They Wait (2007),Horror|Mystery|Thriller
"Thin Red Line, The (1998)",Action|Drama|War
This Night I'll Possess Your Corpse (Esta Noite Encarnarei no Teu Cadáver) (1967),Horror
This So-Called Disaster (2003),Documentary
Thor: The Dark World (2013),Action|Adventure|Fantasy|IMAX
Thousands Cheer (1943),Comedy|Drama|Musical
"Three Marias, The (Três Marias, As) (2002)",Drama
Three Worlds (Trois mondes) (2012),Drama
Tightrope (1984),Thriller
Time Lapse (2014),Crime|Drama|Sci-Fi|Thriller
"Time of the Wolf, The (Le temps du loup) (2003)",Drama
Times and Winds (Bes vakit) (2006),Drama
"Tin Star, The (1957)",Western
Titanic (1997),Drama|Romance
Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa) (1975),Comedy
Toronto Stories (2008),Drama
Trailer Park Boys (1999),Comedy|Crime
"Tree of Life, The (2011)",Drama
"Trial, The (Procès, Le) (1962)",Drama
"Trigger Effect, The (1996)",Drama|Thriller
Trojan War (1997),Comedy
"Troll Hunter, The (Trolljegeren) (2010)",Fantasy|Horror
True Heart Susie (1919),Drama|Romance
Turn the River (2007),Drama
Twice Born (Venuto al mondo) (2012),Drama|Romance|War
Twice Upon a Time (1983),Animation|Fantasy
"Twilight Saga: Eclipse, The (2010)",Fantasy|Romance|Thriller|IMAX
Two Men Went to War (2003),Comedy|War
"Two Mrs. Carrolls, The (1947)",Crime|Drama|Film-Noir|Thriller
U.S. Seals (2000),Action|Thriller
"Unbearable Lightness of Being, The (1988)",Drama
Under Suspicion (2000),Crime|Thriller
Undercover Brother (2002),Comedy
"V.I.P.s, The (1963)",Drama
Valhalla Rising (2009),Action|Drama|War
Vengo (2000),Drama|Musical
Verboten! (1959),Action|Romance|War
Victory Through Air Power (1943),Animation|Documentary|War
Viola (2012),Drama
Virginia (2010),Drama
Viva Max! (1969),(no genres listed)
Viva Zapata! (1952),Western
Vivere (2007),Drama|Romance
Waiter (Ober) (2006),Comedy
Wake in Fright (1971),Drama|Thriller
"Walker, The (2007)",Drama|Mystery
Warren Oates: Across the Border (1993),Documentary
"Warrior's Way, The (2010)",Action|Fantasy|Western
Washington Heights (2002),Drama|Romance
Watchmen: Tales of the Black Freighter (2009),Action|Adventure|Animation|Horror
We the Party (2012),Comedy
"Wedding, A (1978)",Comedy|Drama
Welcome Mr. Marshall (Bienvenido Mister Marshall) (1953),Comedy
Werckmeister Harmonies (Werckmeister harmóniák) (2000),Drama
"What's in a Name (Prénom, Le) (2012)",Comedy
Where Is the Friend's Home? (Where Is My Friend's House?) (Khane-ye doust kodjast?) (1987),Drama
Where the Road Meets the Sun (2011),Crime|Drama
While the City Sleeps (1956),Drama|Film-Noir
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me? (1971),Comedy|Drama
Wichita (1955),Action|Romance|Western
Widows (2011),Drama
"Wild, The (2006)",Adventure|Animation|Children|Comedy|Fantasy
"Winter Guest, The (1997)",Drama
Wisconsin Death Trip (1999),Documentary
Wish Upon a Star (1996),Comedy
Wishmaster (1997),Horror
Wonder Woman (2009),Action|Adventure|Animation|Fantasy
"Wood & Stock: Sexo, Orégano e Rock'n'Roll (2006)",Animation|Comedy
"Working Class Goes to Heaven, The (a.k.a. Lulu the Tool) (La classe operaia va in paradiso) (1971)",Drama
Wyatt Earp's Revenge (2012),Action|Adventure|Drama
Year of the Dog (2007),Comedy|Drama|Romance
Yellowbeard (1983),Action|Adventure|Comedy
Yesterday Girl (Abschied von gestern - Anita G.) (1966),Comedy|Romance
You Can't Win 'Em All (1970),Adventure|Comedy|War
You'll Find Out (1940),Comedy|Horror|Musical|Mystery|Romance
Young Detective Dee: Rise of the Sea Dragon (Di Renjie: Shen du long wang) (2013),Action|Adventure|Drama|Fantasy|Mystery|IMAX
Young Mr. Lincoln (1939),Drama
"Young Victoria, The (2009)",Drama|Romance
Youth of the Son (1952),Drama
Zaza (1938),Drama
Zebraman (2004),Comedy
Zincirbozan (2007),Crime|Drama
Zombies on Broadway (1945),Comedy|Fantasy|Horror
¡Three Amigos! (1986),Comedy|Western
À nos amours (1983),Drama|Romance
